Year,RecreationVisits
1979,6206813
1980,6469576
1981,6827338
1982,6845622
1983,6663693
1984,7240455
1985,7176725
1986,7710642
1987,8330906
1988,8456467
1989,8547684
1990,8132431
1991,8674799
1992,8724437
1993,9028502
1994,9086928
1995,9587779
1996,9105027
1997,9013136
1998,9016851
1999,8965686
2000,8584711
2001,8540116
2002,8472690
2003,8648889
2004,8281411
2005,8443884
2006,8057379
2007,8368248
2008,8474204
2009,8774905
2010,9249823
2011,9235301
2012,9165946
2013,8773800
2014,9516202
2015,10422970
2016,12345331
2017,12038801
2018,12129468
2019,12639131
2020,7839522
2021,10584635
2022,11151849
2023,11388787
