Year,RecreationVisits
1979,3439077
1980,3659740
1981,3938959
1982,3569785
1983,3644916
1984,3143194
1985,3353850
1986,3577688
1987,3771806
1988,3859753
1989,3657867
1990,3806157
1991,4041262
1992,4158811
1993,4060000
1994,4179900
1995,4086739
1996,4050523
1997,4112792
1998,4113197
1999,4308946
2000,4089974
2001,4111635
2002,3803323
2003,3924468
2004,3671495
2005,3757104
2006,3720034
2007,3941182
2008,3742924
2009,3834108
2010,3975161
2011,4197664
2012,4165721
2013,3870071
2014,4391133
2015,5211920
2016,5727438
2017,5845081
2018,5905780
2019,6186620
2020,4395828
2021,5894848
2022,5590899
2023,5490319
