Year,RecreationVisits
1979,930116
1980,1000959
1981,880373
1982,909087
1983,957525
1984,981125
1985,1171780
1986,1332464
1987,1411776
1988,1574161
1989,1522770
1990,1550703
1991,1798379
1992,1354779
1993,1017676
1994,928338
1995,1437855
1996,1263897
1997,1428825
1998,1581590
1999,1590753
2000,1472245
2001,1618380
2002,1561888
2003,1605420
2004,1727576
2005,1859330
2006,1626980
2007,1653101
2008,1572127
2009,1390638
2010,1437040
2011,1485599
2012,1698069
2013,1592365
2014,1701511
2015,1656453
2016,1519277
2017,1519799
2018,1123187
2019,1906022
2020,1153632
2021,1731602
2022,1934704
2023,1465716
