Year,RecreationVisits
1979,2306544
1980,2252576
1981,2563536
1982,2767159
1983,3112263
1984,3012429
1985,2011303
1986,2179242
1987,2339958
1988,2297690
1989,2423949
1990,2357417
1991,2466985
1992,2334785
1993,2461174
1994,2701618
1995,2769624
1996,2784901
1997,3505648
1998,2829215
1999,3466042
2000,3134719
2001,2754260
2002,2632078
2003,2567192
2004,2762868
2005,3135877
2006,3038314
2007,2790596
2008,2455606
2009,2342209
2010,2410273
2011,2309112
2012,2578596
2013,2368509
2014,2835045
2015,3049432
2016,3151138
2017,3129092
2018,2160975
2019,2362770
2020,908922
2021,2115928
2022,2668577
2023,2411586
