Year,RecreationVisits
1979,1384910
1980,1495787
1981,1404317
1982,1526676
1983,1498503
1984,1501450
1985,1507939
1986,1646673
1987,1636340
1988,1735610
1989,1672840
1990,1924538
1991,2158195
1992,2392858
1993,2396234
1994,2009935
1995,1935709
1996,1896829
1997,1997658
1998,2113992
1999,1710983
2000,1749268
2001,1883580
2002,1891307
2003,1869137
2004,1888267
2005,1878006
2006,597934
2007,487305
2008,446174
2009,503856
2010,497225
2011,483319
2012,508054
2013,494541
2014,522628
2015,566895
2016,586514
2017,587853
2018,533206
2019,551590
2020,290392
2021,515774
2022,663147
2023,654450
