Year,RecreationVisits
1979,2787366
1980,2779666
1981,2997972
1982,3572114
1983,4124639
1984,3734763
1985,3745570
1986,3929054
1987,4288154
1988,4502283
1989,5440952
1990,2339591
1991,2475857
1992,2382113
1993,2656034
1994,2710749
1995,2845378
1996,2704831
1997,2760306
1998,2594497
1999,2602227
2000,2469238
2001,2516551
2002,2558572
2003,2431062
2004,2207847
2005,2051484
2006,2083588
2007,2202228
2008,2075857
2009,2227698
2010,2504208
2011,2374645
2012,2431052
2013,2254922
2014,2563129
2015,2811184
2016,3303393
2017,3509271
2018,3537575
2019,3437286
2020,2669034
2021,4069098
2022,3970260
2023,3879890
