Year,RecreationVisits
1979,14782
1980,14977
1981,14558
1982,13238
1983,12928
1984,11814
1985,16775
1986,26122
1987,31760
1988,26593
1989,27133
1990,23495
1991,22004
1992,22728
1993,21983
1994,24843
1995,23470
1996,23445
1997,21381
1998,23932
1999,23493
2000,21096
2001,19431
2002,19463
2003,17800
2004,17276
2005,17398
2006,17070
2007,15973
2008,14038
2009,14653
2010,15793
2011,15892
2012,16663
2013,16274
2014,14560
2015,18684
2016,24966
2017,28196
2018,25798
2019,26410
2020,6493
2021,25844
2022,25454
2023,28965
