Year,RecreationVisits
1979,1859431
1980,1928825
1981,2282261
1982,2967323
1983,2948022
1984,1709993
1985,2140316
1986,2311147
1987,2364694
1988,2477458
1989,2518712
1990,2382612
1991,2622425
1992,2415514
1993,2539740
1994,2553696
1995,3234977
1996,3649308
1997,3420076
1998,3420352
1999,3481042
2000,3458956
2001,3532524
2002,3333454
2003,2685219
2004,2779350
2005,2944976
2006,2572072
2007,2385387
2008,1954810
2009,2360109
2010,2436110
2011,2259020
2012,2496726
2013,2377258
2014,1817091
2015,1698656
2016,1271855
2017,1398188
2018,2016180
2019,2055309
2020,486021
2021,1145081
2022,1618774
2023,2422836
