Year,RecreationVisits
1979,1446086
1980,1474578
1981,1786523
1982,1666114
1983,2203847
1984,1946703
1985,1603011
1986,1579151
1987,1660737
1988,1817733
1989,1821523
1990,1986737
1991,2096966
1992,2199767
1993,2141704
1994,2152989
1995,1839518
1996,1720805
1997,1708856
1998,1830944
1999,1684604
2000,1728693
2001,1680614
2002,1905689
2003,1664046
2004,2033933
2005,1925101
2006,1964399
2007,2083329
2008,1808027
2009,2031348
2010,2200048
2011,1853564
2012,2162035
2013,2190374
2014,2338528
2015,2366056
2016,2946681
2017,3305512
2018,2965309
2019,3049839
2020,1698864
2021,3081656
2022,2908458
2023,2933616
