Year,RecreationVisits
1979,29947
1980,33383
1981,33367
1982,32264
1983,30335
1984,37676
1985,36343
1986,40359
1987,63532
1988,73559
1989,70259
1990,65026
1991,63864
1992,69144
1993,91915
1994,88024
1995,87829
1996,86635
1997,90760
1998,80363
1999,90119
2000,81045
2001,81712
2002,85777
2003,87020
2004,79879
2005,77741
2006,78524
2007,81364
2008,69235
2009,84974
2010,88870
2011,91451
2012,94850
2013,92893
2014,107526
2015,116123
2016,144846
2017,168028
2018,153094
2019,131802
2020,120248
2021,144875
2022,142115
2023,143265
