Year,RecreationVisits
1979,1302461
1980,1184439
1981,1328260
1982,1325544
1983,1205149
1984,1255919
1985,1219236
1986,1419431
1987,1348913
1988,1342320
1989,1360908
1990,1329503
1991,1267993
1992,1279113
1993,1298413
1994,1200148
1995,1193405
1996,1173916
1997,1170304
1998,1115033
1999,1068366
2000,984532
2001,974579
2002,975223
2003,949639
2004,867784
2005,864233
2006,848294
2007,846602
2008,838892
2009,903806
2010,899445
2011,793924
2012,828443
2013,879110
2014,900969
2015,943226
2016,1022566
2017,1132494
2018,1068920
2019,1049476
2020,599218
2021,1131713
2022,1096059
2023,1123217
