Year,RecreationVisits
1979,410749
1980,455143
1981,503404
1982,435589
1983,379008
1984,419829
1985,390604
1986,402789
1987,460550
1988,443430
1989,430734
1990,384941
1991,456931
1992,461668
1993,381747
1994,454215
1995,496041
1996,476957
1997,451548
1998,471865
1999,417992
2000,426883
2001,457373
2002,456620
2003,479183
2004,417066
2005,447240
2006,388972
2007,468958
2008,415686
2009,446516
2010,448319
2011,423551
2012,447251
2013,523027
2014,535508
2015,614712
2016,756344
2017,711749
2018,720659
2019,704512
2020,670500
2021,647751
2022,527259
2023,559976
