Year,RecreationVisits
1979,1315443
1980,1425713
1981,1679376
1982,1497876
1983,1530720
1984,1649697
1985,1427827
1986,1508964
1987,1738118
1988,1688056
1989,1799714
1990,1912939
1991,2115453
1992,1865593
1993,1716533
1994,2001520
1995,1881257
1996,1805876
1997,1802729
1998,1871023
1999,1712170
2000,1774331
2001,1605826
2002,1719196
2003,1745201
2004,1529907
2005,1521624
2006,1431167
2007,1489812
2008,1419167
2009,1521786
2010,1554919
2011,1409135
2012,1412489
2013,1408514
2014,1415116
2015,1601552
2016,1613640
2017,1674249
2018,1665339
2019,1586348
2020,1365337
2021,1933227
2022,1614227
2023,1638859
