Year,RecreationVisits
1979,8019788
1980,8440953
1981,8312884
1982,8177869
1983,8435475
1984,8508390
1985,9319290
1986,9836306
1987,10209841
1988,8770781
1989,8333553
1990,8151769
1991,8654459
1992,8931690
1993,9283848
1994,8628174
1995,9080420
1996,9265667
1997,9965075
1998,9989395
1999,10283598
2000,10175812
2001,9197697
2002,9316420
2003,9366845
2004,9167046
2005,9192477
2006,9289215
2007,9372253
2008,9044010
2009,9491437
2010,9463538
2011,9008830
2012,9685829
2013,9354695
2014,10099276
2015,10712674
2016,11312786
2017,11338893
2018,11421200
2019,12547743
2020,12095720
2021,14161548
2022,12937633
2023,13297647
