Year,RecreationVisits
1979,393419
1980,287833
1981,309973
1982,320764
1983,307662
1984,319527
1985,335803
1986,363935
1987,384265
1988,418505
1989,450600
1990,450268
1991,496868
1992,469655
1993,528961
1994,533937
1995,504432
1996,502939
1997,537862
1998,566366
1999,547240
2000,461082
2001,551234
2002,530658
2003,493741
2004,540074
2005,568966
2006,472874
2007,529966
2008,526221
2009,562787
2010,564540
2011,514408
2012,451415
2013,462623
2014,480970
2015,551282
2016,570129
2017,665533
2018,612438
2019,652665
2020,545163
2021,824511
2022,734094
2023,736469
