Year,RecreationVisits
1979,2231868
1980,2385199
1981,2577112
1982,2443787
1983,2465294
1984,2616301
1985,2804693
1986,3224694
1987,3566069
1988,3941791
1989,4135399
1990,4425086
1991,4829317
1992,5280166
1993,5319760
1994,5111428
1995,5381717
1996,5749156
1997,5537260
1998,5466090
1999,5527478
2000,5332266
2001,4936776
2002,5141377
2003,5042760
2004,5319140
2005,5329652
2006,5195123
2007,5502492
2008,5703796
2009,6001540
2010,6064438
2011,6304870
2012,6555833
2013,6328040
2014,7239149
2015,8369533
2016,10087077
2017,10507960
2018,10630144
2019,10703389
2020,7768944
2021,11268247
2022,10514484
2023,10635735
