Year,RecreationVisits
1979,1521451
1980,1699228
1981,1819546
1982,1751972
1983,1768378
1984,1869307
1985,1933085
1986,1843985
1987,1767727
1988,1937155
1989,1873817
1990,1771780
1991,1939486
1992,1822193
1993,1951366
1994,1926883
1995,1757794
1996,1571019
1997,1587790
1998,1473100
1999,1339286
2000,1419579
2001,1498561
2002,1389244
2003,1163950
2004,1261000
2005,1094912
2006,1076150
2007,1107227
2008,1075878
2009,1120981
2010,1253386
2011,1209883
2012,1210200
2013,1136505
2014,1255321
2015,1321873
2016,1437341
2017,1458874
2018,1264880
2019,1425507
2020,1666265
2021,1592312
2022,1449300
2023,1576008
