Year,RecreationVisits
1979,4338543
1980,4096753
1981,4368729
1982,4343055
1983,4375069
1984,4549258
1985,4327019
1986,4921547
1987,4766483
1988,4820707
1989,4483346
1990,4578448
1991,4331881
1992,4572547
1993,4066189
1994,4827140
1995,5162826
1996,4715594
1997,5189685
1998,4963553
1999,4677151
2000,4698259
2001,4744911
2002,5022391
2003,4508402
2004,4308384
2005,4335357
2006,3881965
2007,4055905
2008,4263403
2009,4455085
2010,4060976
2011,4023939
2012,3901021
2013,4255515
2014,4531996
2015,4521669
2016,4775780
2017,4848189
2018,4653031
2019,4785635
2020,3690816
2021,4406843
2022,4085521
2023,4662148
