Year,RecreationVisits
1979,4339079
1980,4555896
1981,5165475
1982,4902926
1983,3879277
1984,3582925
1985,3560642
1986,3670078
1987,4023985
1988,3414804
1989,3976101
1990,4411825
1991,4546289
1992,4889041
1993,5480882
1994,5586844
1995,5856300
1996,5745610
1997,5548275
1998,5877890
1999,5811406
2000,5428857
2001,5293634
2002,5586306
2003,5375068
2004,5228690
2005,5299093
2006,5276771
2007,5739917
2008,5552567
2009,5875268
2010,6309559
2011,5981763
2012,6152985
2013,5876824
2014,6304876
2015,7247631
2016,7527253
2017,7433524
2018,7606151
2019,7425902
2020,7095944
2021,8745472
2022,6096465
2023,7918488
